DateScan,Code,Scan_Name,NotesShake
2021_07_16,p184P1112,2021_07_16\JBOTROE2021__0039.tif,
2021_07_16,p185P0528,2021_07_16\JBOTROE2021__0040.tif,
2021_07_16,p187P20--,2021_07_16\JONTROE2021__0040.tif,"very small seeds, all of the husks came off"
2021_07_16,p188P25--,2021_07_16\JONTROE2021__0041.tif,
2021_07_16,p189P1702,2021_07_16\JBOTROE2021__0041.tif,
2021_07_16,p190P2027,2021_07_16\JONTROE2021__0042.tif,About 1/3 seed ot dehusked
2021_07_16,p191P2108,2021_07_16\JBOTROE2021__0042.tif,"Bag said ""immature spikes"" but the spikes actually had some seed"
2021_07_16,p192P1321,2021_07_16\JONTROE2021__0043.tif,
2021_07_16,p194P0723,2021_07_16\JBOTROE2021__0043.tif,
2021_07_16,p196P18--,2021_07_16\JONTROE2021__0044.tif,
2021_07_16,p198P11--,2021_07_16\JBOTROE2021__0044.tif,
2021_07_07,p201P1122,2021_07_07\TROE2021__0001.tif,
2021_07_07,p202P23--,2021_07_07\TROE2021__0002.tif,
2021_07_07,p203P2202,2021_07_07\TROE2021__0003.tif,
2021_07_07,p204P2324,2021_07_07\TROE2021__0004.tif,
2021_07_07,p205P02--,2021_07_07\TROE2021__0005.tif,
2021_07_07,p206P2201,2021_07_07\JBOTROE2021__0001.tif,Dirty sample because of stickiness; it can't be threshed
2021_07_07,p207P0911,2021_07_07\TROE2021__0006.tif,
2021_07_07,p208P1312,2021_07_07\JBOTROE2021__0002.tif,
2021_07_07,p209P14--,2021_07_07\TROE2021__0007.tif,
2021_07_07,p210P1304,2021_07_07\JBOTROE2021__0003.tif,
2021_07_07,p211P2225,2021_07_07\TROE2021__0008.tif,
2021_07_07,p212P1815,2021_07_07\JBOTROE2021__0004.tif,
2021_07_07,p213P01--,2021_07_07\TROE2021__0009.tif,
2021_07_07,p214P1515,2021_07_07\JBOTROE2021__0005.tif,
2021_07_07,p215P2412,2021_07_07\TROE2021__0010.tif,little sticky
2021_07_07,p216P15--,2021_07_07\JBOTROE2021__0006.tif,
2021_07_07,p217P18--,2021_07_07\TROE2021__0011.tif,
2021_07_07,p218P15--,2021_07_07\JBOTROE2021__0007.tif,"very sticky, dirty sample"
2021_07_07,p219P02--,2021_07_07\JBOTROE2021__0008.tif,
2021_07_07,p220P0211,2021_07_07\TROE2021__0012.tif,
2021_07_07,p221P0715,2021_07_07\JBOTROE2021__0009.tif,
2021_07_07,p222P04--,2021_07_07\TROE2021__0013.tif,
2021_07_07,p223P2321,2021_07_07\JBOTROE2021__0010.tif,shattered spikes
2021_07_07,p224P1415,2021_07_07\TROE2021__0014.tif,
2021_07_07,p225P1107,2021_07_07\JBOTROE2021__0011.tif,
2021_07_07,p226P0120,2021_07_07\TROE2021__0015.tif,
2021_07_07,p227P2020,2021_07_07\JBOTROE2021__0012.tif,
2021_07_07,p228P11--,2021_07_07\TROE2021_0001.tif,
2021_07_07,p229P0109,2021_07_07\JBOTROE2021__0013.tif,Green so no sample
2021_07_07,p230P04--,2021_07_07\JBOTROE2021__0014.tif,"Approximated, the sample was hand shattered halfway through before the total undetatched and detatched seed were measured."
2021_07_07,p231P05--,2021_07_07\TROE2021_0002.tif,
2021_07_07,p232P0703,2021_07_07\JBOTROE2021__0015.tif,
2021_07_07,p233P1928,2021_07_07\TROE2021_0003.tif,
2021_07_07,p234P1827,2021_07_07\JBOTROE2021__0016.tif,
2021_07_07,p235P01--,2021_07_07\TROE2021_0004.tif,
2021_07_07,p236P2305,2021_07_07\JBOTROE2021__0017.tif,
